V;X;y;s
0.00E+00;0.00E+00;41;30
6.08E-05;2.54E-03;176;30
9.63E-05;4.03E-03;281;30
1.04E-04;4.35E-03;320;30
1.23E-04;5.15E-03;412;30
1.35E-04;5.65E-03;465;30
1.40E-04;5.86E-03;495;30
1.44E-04;6.03E-03;518;30
1.47E-04;6.15E-03;531;30
1.56E-04;6.53E-03;580;30
1.62E-04;6.78E-03;603;30
1.69E-04;7.07E-03;640;30
1.77E-04;7.41E-03;678;30
1.83E-04;7.66E-03;710;30
1.87E-04;7.82E-03;733;30
1.97E-04;8.24E-03;790;30
2.04E-04;8.54E-03;824;30
2.15E-04;9.00E-03;878;30
2.24E-04;9.37E-03;925;30
2.28E-04;9.54E-03;952;30
2.41E-04;1.01E-02;1029;30
2.49E-04;1.04E-02;1074;30
2.57E-04;1.08E-02;1115;30
2.65E-04;1.11E-02;1162;30
2.70E-04;1.13E-02;1191;30
2.82E-04;1.18E-02;1263;30
2.95E-04;1.23E-02;1331;30
3.03E-04;1.27E-02;1389;30
3.11E-04;1.30E-02;1425;30
3.19E-04;1.33E-02;1477;30
3.29E-04;1.38E-02;1537;30
3.40E-04;1.42E-02;1595;30
3.50E-04;1.46E-02;1660;30
3.64E-04;1.52E-02;1749;30
3.78E-04;1.58E-02;1833;30
3.89E-04;1.63E-02;1903;30
4.00E-04;1.67E-02;1979;30
4.12E-04;1.72E-02;2050;30
4.21E-04;1.76E-02;2112;30
4.29E-04;1.79E-02;2163;30
4.39E-04;1.84E-02;2233;30
4.49E-04;1.88E-02;2297;30
4.59E-04;1.92E-02;2371;30
4.72E-04;1.97E-02;2457;30
4.80E-04;2.01E-02;2513;30
4.99E-04;2.09E-02;2631;30
5.07E-04;2.12E-02;2696;30
5.13E-04;2.15E-02;2741;30
5.25E-04;2.20E-02;2832;30
5.35E-04;2.24E-02;2902;30
5.44E-04;2.28E-02;2966;30
5.52E-04;2.31E-02;3022;30
5.74E-04;2.40E-02;3187;30
5.84E-04;2.44E-02;3259;30
5.95E-04;2.49E-02;3322;30
6.11E-04;2.56E-02;3441;30
6.26E-04;2.62E-02;3559;30
6.35E-04;2.66E-02;3628;30
6.52E-04;2.73E-02;3772;30
6.66E-04;2.79E-02;3876;30
6.74E-04;2.82E-02;3947;30
6.86E-04;2.87E-02;4052;30
7.00E-04;2.93E-02;4149;30
7.03E-04;2.94E-02;4185;30
7.09E-04;2.97E-02;4241;30
7.15E-04;2.99E-02;4292;30
7.23E-04;3.03E-02;4390;30
7.27E-04;3.04E-02;4440;30
7.33E-04;3.07E-02;4485;30
7.38E-04;3.09E-02;4535;30
7.44E-04;3.11E-02;4592;30
7.49E-04;3.13E-02;4620;30
7.57E-04;3.17E-02;4690;30
7.61E-04;3.18E-02;4728;30
7.66E-04;3.21E-02;4770;30
7.71E-04;3.23E-02;4820;30
7.77E-04;3.25E-02;4860;30
7.82E-04;3.27E-02;4910;30
7.87E-04;3.29E-02;4953;30
7.93E-04;3.32E-02;5010;30
7.99E-04;3.34E-02;5062;30
8.05E-04;3.37E-02;5111;30
8.10E-04;3.39E-02;5125;30
8.13E-04;3.40E-02;5159;30
8.16E-04;3.41E-02;5217;30
8.20E-04;3.43E-02;5250;30
8.23E-04;3.44E-02;5275;30
8.32E-04;3.48E-02;5368;30
8.39E-04;3.51E-02;5426;30
8.42E-04;3.52E-02;5454;30
8.48E-04;3.55E-02;5512;30
8.54E-04;3.57E-02;5560;30
8.59E-04;3.59E-02;5610;30
8.63E-04;3.61E-02;5640;30
8.71E-04;3.64E-02;5735;30
8.79E-04;3.68E-02;5785;30
8.81E-04;3.69E-02;5818;30
8.86E-04;3.71E-02;5866;30
8.92E-04;3.73E-02;5910;30
8.99E-04;3.76E-02;5981;30
9.02E-04;3.77E-02;6010;30
9.09E-04;3.80E-02;6094;30
9.16E-04;3.83E-02;6160;30
9.27E-04;3.88E-02;6247;30
9.32E-04;3.90E-02;6303;30
9.42E-04;3.94E-02;6405;30
9.58E-04;4.01E-02;6570;30
9.70E-04;4.06E-02;6690;30
9.76E-04;4.08E-02;6740;30
9.82E-04;4.11E-02;6804;30
9.96E-04;4.17E-02;6949;30
1.00E-03;4.18E-02;7017;30
1.02E-03;4.27E-02;7177;30
1.02E-03;4.27E-02;7219;30
1.04E-03;4.35E-02;7369;30
1.06E-03;4.44E-02;7553;30
1.06E-03;4.44E-02;7581;30
1.06E-03;4.44E-02;7640;30
